index,Provider ID,State,ZIP Code,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
1589,161305,IA,50574,7123353501,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"606 N W 7TH STREET, POCAHONTAS, IA 50574, (42.740822, -94.678778)"
1590,130002,ID,83301,2088141000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Average,,Above Average,,Average,,Average,,Average,,"801 POLE LINE ROAD WEST, TWIN FALLS, ID 83301, (42.59159, -114.493131)"
1591,110023,GA,30701,7066292895,Acute Care Hospitals,Voluntary non-profit - Church,1,5.0,,Average,,Above Average,,Above Average,,Above Average,,Above Average,,Average,,Average,,"1035 RED BUD ROAD, CALHOUN, GA 30701, (34.511849, -84.924415)"
1592,150017,IN,46804,2604357001,Acute Care Hospitals,Proprietary,1,2.0,,Below Average,,Below Average,,Average,,Below Average,,Above Average,,Below Average,,Average,,"7950 W JEFFERSON BLVD, FORT WAYNE, IN 46804, (41.037374, -85.245885)"
1593,141334,IL,62966,6186843156,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Average,,Above Average,,Average,,Average,,Unknown,Results are not available for this reporting period,"2 SOUTH HOSPITAL DRIVE, MURPHYSBORO, IL 62966, (37.773205, -89.32635)"
1594,210044,MD,21204,4438492000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,"6701 NORTH CHARLES STREET, BALTIMORE, MD 21204, (39.393497, -76.628092)"
1595,180018,KY,40351,6067836503,Acute Care Hospitals,Government - Federal,1,2.0,,Average,,Below Average,,Below Average,,Average,,Above Average,,Above Average,,Above Average,,"222 MEDICAL CIRCLE, MOREHEAD, KY 40351, (38.180032, -83.44243)"
1596,190312,LA,70427,9857306700,Acute Care Hospitals,Government - State,1,3.0,,Unknown,Results are not available for this reporting period,Average,,Average,,Above Average,,Below Average,,Average,,Below Average,,"433 PLAZA STREET, BOGALUSA, LA 70427, (30.778704, -89.868293)"
1597,150183,IN,47403,8128251111,Acute Care Hospitals,Proprietary,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,"4011 S MONROE MEDICAL PARK BLVD, BLOOMINGTON, IN 47403, (39.120991, -86.573366)"
1598,180043,KY,40962,6065985104,Acute Care Hospitals,Voluntary non-profit - Church,1,3.0,,Above Average,,Average,,Below Average,,Average,,Average,,Above Average,,Average,,"210 MARIE LANGDON DRIVE, MANCHESTER, KY 40962, (37.162154, -83.761356)"
1599,161373,IA,50854,6414643226,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"504 NORTH CLEVELAND STREET, MOUNT AYR, IA 50854, (40.71833, -94.223613)"
1600,181307,KY,41472,6067433186,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"476 LIBERTY ROAD, WEST LIBERTY, KY 41472, (37.920137, -83.266276)"
1601,150046,IN,47802,8122320021,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Above Average,,Below Average,,Above Average,,Above Average,,Above Average,,Average,,"3901 S SEVENTH ST, TERRE HAUTE, IN 47802, (39.419624, -87.406837)"
1602,171330,KS,67554,6202575173,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"619 SOUTH CLARK AVENUE, LYONS, KS 67554, (38.341391, -98.216146)"
1603,140276,IL,60153,7082169000,Acute Care Hospitals,Voluntary non-profit - Private,1,2.0,,Average,,Below Average,,Below Average,,Below Average,,Average,,Below Average,,Average,,"2160 S 1ST AVENUE, MAYWOOD, IL 60153, (41.858732, -87.83321)"
1604,150064,IN,47331,7658255131,Acute Care Hospitals,Proprietary,1,4.0,,Average,,Unknown,Results are not available for this reporting period,Above Average,,Above Average,,Average,,Above Average,,Average,,"1941 VIRGINIA AVE, CONNERSVILLE, IN 47331, (39.65592, -85.131984)"
1605,143302,IL,60707,7736225400,Childrens,Voluntary non-profit - Private,0,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"2211 NORTH OAK PARK AVE, CHICAGO, IL 60707, (41.916766, -87.79499)"
1606,210034,MD,21225,4103503201,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,"3001 SOUTH HANOVER STREET, BALTIMORE, MD 21225, (39.251349, -76.615048)"
1607,161370,IA,50583,7126627105,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,"211 HIGHLAND AVENUE PO BOX 217, SAC CITY, IA 50583, (42.41827, -94.978051)"
1608,230015,MI,49093,2692739602,Acute Care Hospitals,Government - Hospital District or Authority,1,3.0,,Average,,Average,,Average,,Average,,Below Average,,Average,,Average,,"701 S HEALTH PARKWAY, THREE RIVERS, MI 49093, (41.934946, -85.647048)"
1609,121305,HI,96763,8085658450,Critical Access Hospitals,Government - State,1,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"628 7TH STREET, LANAI CITY, HI 96763, (20.826883, -156.917611)"
1610,180035,KY,41017,8593012000,Acute Care Hospitals,Voluntary non-profit - Church,1,4.0,,Above Average,,Above Average,,Below Average,,Average,,Above Average,,Average,,Above Average,,"1 MEDICAL VILLAGE DRIVE, EDGEWOOD, KY 41017, (39.014971, -84.559874)"
1611,140300,IL,60615,3125722000,Acute Care Hospitals,Government - Local,1,3.0,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Average,,Below Average,,Unknown,Results are not available for this reporting period,"500 E 51ST ST, CHICAGO, IL 60615, (41.802158, -87.614193)"
1612,151301,IN,47394,7655840004,Critical Access Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Average,,Average,,Average,,"473 E GREENVILLE AVE, WINCHESTER, IN 47394, (40.167807, -84.970293)"
1613,171365,KS,66945,7853372214,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"205 S HANOVER STREET, HANOVER, KS 66945, (39.891047, -96.874771)"
1614,160067,IA,50702,3192728000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Above Average,,Average,,Below Average,,Above Average,,Above Average,,"3421 WEST NINTH STREET, WATERLOO, IA 50702, (42.463316, -92.346529)"
1615,151320,IN,47371,2607267131,Critical Access Hospitals,Government - Local,1,4.0,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Above Average,,Average,,Above Average,,Unknown,Results are not available for this reporting period,"500 W VOTAW ST, PORTLAND, IN 47371, (40.439377, -84.983445)"
1616,141303,IL,61727,2179359571,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"422 W WHITE ST, CLINTON, IL 61727, (40.148953, -88.964639)"
1617,180001,KY,41075,8595723100,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Above Average,,Average,,Below Average,,Above Average,,Average,,Average,,"85 NORTH GRAND AVENUE, FORT THOMAS, KY 41075, (39.078457, -84.464876)"
1618,161368,IA,51031,7125467871,Critical Access Hospitals,Proprietary,1,4.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"714 LINCOLN ST NE, LE MARS, IA 51031, (42.79728, -96.15599)"
1619,161335,IA,50644,3193320999,Critical Access Hospitals,Voluntary non-profit - Other,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"1600 FIRST ST EAST, INDEPENDENCE, IA 50644, (42.468787, -91.874629)"
1620,140150,IL,60612,3129963900,Acute Care Hospitals,Government - State,1,1.0,,Average,,Below Average,,Below Average,,Below Average,,Average,,Below Average,,Average,,"1740 WEST TAYLOR ST SUITE 1400, CHICAGO, IL 60612, (41.869224, -87.670529)"
1621,190014,LA,70380,9853842440,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Above Average,,Average,,Average,,Average,,Above Average,,Below Average,,"1125 MARGUERITE STREET, MORGAN CITY, LA 70380, (29.708471, -91.200157)"
1622,171367,KS,67752,7857543341,Critical Access Hospitals,Voluntary non-profit - Other,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"520 WEST 5TH STREET, QUINTER, KS 67752, (39.06716, -100.241305)"
1623,121302,HI,96755,8088896211,Critical Access Hospitals,Government - State,1,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"54-383 HOSPITAL ROAD, KAPAAU, HI 96755, (20.231737, -155.797253)"
1624,140181,IL,60617,7737680810,Acute Care Hospitals,Voluntary non-profit - Private,1,2.0,,Average,,Above Average,,Below Average,,Below Average,,Below Average,,Below Average,,Unknown,Results are not available for this reporting period,"8012 SOUTH CRANDON AVENUE, CHICAGO, IL 60617, (41.749496, -87.568623)"
1625,150042,IN,47591,8128825220,Acute Care Hospitals,Voluntary non-profit - Other,1,3.0,,Below Average,,Average,,Average,,Above Average,,Average,,Above Average,,Below Average,,"520 S 7TH ST, VINCENNES, IN 47591, (38.673857, -87.532393)"
1626,141341,IL,62557,2175622131,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"101 E NINTH STREET, PANA, IL 62557, (39.380181, -89.083577)"
1627,191325,LA,70345,9856326401,Critical Access Hospitals,Government - Hospital District or Authority,1,4.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"200 WEST 134TH PLACE, CUT OFF, LA 70345, (29.456719, -90.31043)"
1628,191305,LA,70071,2258695512,Critical Access Hospitals,Government - Hospital District or Authority,1,4.0,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Above Average,,Average,,Average,,Unknown,Results are not available for this reporting period,"1645 LUTCHER AVENUE, LUTCHER, LA 70071, (30.052422, -90.702489)"
1629,141326,IL,62859,6186432361,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"611 S MARSHALL AVENUE, MCLEANSBORO, IL 62859, (38.086662, -88.541256)"
1630,161302,IA,50525,5155322811,Critical Access Hospitals,Government - Local,1,4.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,Average,,Average,,"1316 SOUTH MAIN STREET, CLARION, IA 50525, (42.721822, -93.732633)"
1631,160013,IA,52761,5632649100,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Average,,Average,,Average,,Average,,Unknown,Results are not available for this reporting period,"1518 MULBERRY AVENUE, MUSCATINE, IA 52761, (41.434173, -91.052727)"
1632,120011,HI,96819,8084320000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Average,,Average,,Above Average,,Above Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"3288 MOANALUA RD, HONOLULU, HI 96819, (21.363251, -157.901077)"
1633,120001,HI,96813,8085389011,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Below Average,,Above Average,,Above Average,,Average,,Below Average,,Above Average,,"1301 PUNCHBOWL ST, HONOLULU, HI 96813, (21.307695, -157.855186)"
1634,131311,ID,83647,2085878401,Critical Access Hospitals,Voluntary non-profit - Private,1,4.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"895 NORTH 6TH EAST, MOUNTAIN HOME, ID 83647, (43.138341, -115.692485)"
1635,150126,IN,46307,2197576100,Acute Care Hospitals,Voluntary non-profit - Church,1,3.0,,Average,,Average,,Average,,Average,,Average,,Average,,Average,,"1201 S MAIN ST, CROWN POINT, IN 46307, (41.395622, -87.364442)"
1636,140217,IL,60123,8476953200,Acute Care Hospitals,Voluntary non-profit - Church,1,3.0,,Average,,Below Average,,Above Average,,Average,,Below Average,,Average,,Average,,"77 N AIRLITE STREET, ELGIN, IL 60123, (42.036242, -88.327934)"
1637,150179,IN,46256,3178498222,Acute Care Hospitals,Voluntary non-profit - Private,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"8102 CLEARVISTA PARKWAY, INDIANAPOLIS, IN 46256, (39.902814, -86.039284)"
1638,220001,MA,1453,9784662000,Acute Care Hospitals,Voluntary non-profit - Other,1,3.0,,Average,,Above Average,,Average,,Below Average,,Below Average,,Average,,Average,,"60 HOSPITAL ROAD, LEOMINSTER, MA 01453, (42.541193, -71.763033)"
1639,190086,LA,71270,3182542100,Acute Care Hospitals,Proprietary,1,2.0,,Average,,Below Average,,Below Average,,Below Average,,Above Average,,Average,,Unknown,Results are not available for this reporting period,"401 EAST VAUGHN AVENUE, RUSTON, LA 71270, (32.515281, -92.633902)"
1640,220108,MA,2186,6176964600,Acute Care Hospitals,Government - Federal,1,4.0,,Above Average,,Average,,Average,,Average,,Average,,Average,,Average,,"199 REEDSDALE ROAD, MILTON, MA 02186, (42.252352, -71.075213)"
1641,210064,MD,21215,4106012400,Acute Care Hospitals,Voluntary non-profit - Private,0,3.0,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,"2434 WEST BELVEDERE AVENUE, BALTIMORE, MD 21215, (39.3532, -76.665025)"
1642,190039,LA,70072,5043475511,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Above Average,,Above Average,,Above Average,,Above Average,,Average,,Below Average,,"1101 MEDICAL CENTER BLVD, MARRERO, LA 70072, (29.891487, -90.095865)"
1643,170006,KS,66762,6202316100,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Below Average,,Above Average,,Average,,Average,,Above Average,,Below Average,,"1 MT CARMEL WAY, PITTSBURG, KS 66762, (37.38153, -94.68385)"
1644,140200,IL,60126,6308331400,Acute Care Hospitals,Proprietary,1,4.0,,Above Average,,Average,,Average,,Above Average,,Average,,Average,,Average,,"155 EAST BRUSH HILL ROAD, ELMHURST, IL 60126, (41.861666, -87.934848)"
1645,220015,MA,1060,4135822000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Below Average,,Average,,Below Average,,Above Average,,Below Average,,Average,,"30 LOCUST STREET, NORTHAMPTON, MA 01060, (42.331632, -72.653387)"
1646,171340,KS,67449,7852582207,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"100 E HELEN STREET, HERINGTON, KS 67449, (38.679561, -96.942274)"
1647,171377,KS,66967,7852826845,Critical Access Hospitals,Government - Local,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,"614 SOUTH MAIN STREET, SMITH CENTER, KS 66967, (39.771554, -98.785713)"
1648,140125,IL,62040,6187983175,Acute Care Hospitals,Proprietary,1,2.0,,Average,,Average,,Below Average,,Below Average,,Average,,Above Average,,Average,,"2100 MADISON AVENUE, GRANITE CITY, IL 62040, (38.700891, -90.144958)"
1649,190256,LA,70458,5046908200,Acute Care Hospitals,Proprietary,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"989 ROBERT BLVD, SLIDELL, LA 70458, (30.290777, -89.769405)"
1650,110226,GA,30058,4045018040,Acute Care Hospitals,Government - Hospital District or Authority,1,2.0,,Average,,Below Average,,Average,,Below Average,,Below Average,,Below Average,,Average,,"2801 DEKALB MEDICAL PARKWAY, LITHONIA, GA 30058, (33.705488, -84.146927)"
1651,220126,MA,2062,5087721000,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Above Average,,Below Average,,Below Average,,Average,,Below Average,,Average,,"800 WASHINGTON STREET, NORWOOD, MA 02062, (42.189462, -71.20264)"
1652,140231,IL,60540,6305273000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Above Average,,Below Average,,Average,,Average,,Average,,Above Average,,Average,,"801 SOUTH WASHINGTON, NAPERVILLE, IL 60540, (41.761426, -88.149239)"
1653,190013,LA,70663,3375277034,Acute Care Hospitals,Government - Hospital District or Authority,1,3.0,,Average,,Above Average,,Average,,Above Average,,Below Average,,Above Average,,Below Average,,"701 EAST CYPRESS STREET, SULPHUR, LA 70663, (30.231058, -93.368718)"
1654,151319,IN,47670,8123853401,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Below Average,,Average,,Unknown,Results are not available for this reporting period,"1808 SHERMAN DR, PRINCETON, IN 47670, (38.360231, -87.589559)"
1655,160001,IA,50158,6417545151,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,"3 S 4TH AVE, MARSHALLTOWN, IA 50158, (42.048049, -92.905914)"
1656,181320,KY,42078,2709882299,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"131 HOSPITAL DRIVE, SALEM, KY 42078, (37.263322, -88.228748)"
1657,210035,MD,20646,3016094265,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,Unknown,Data suppressed by CMS for one or more quarters,"5 GARRETT AVENUE, LA PLATA, MD 20646, (38.529266, -76.970818)"
1658,151300,IN,46506,5745462211,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"1020 HIGH RD, BREMEN, IN 46506, (41.45694, -86.157922)"
1659,171301,KS,67526,6205642548,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"605 N MAIN STREET, ELLINWOOD, KS 67526, (38.360707, -98.581193)"
1660,170105,KS,67460,6202412250,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Below Average,,Above Average,,Unknown,Results are not available for this reporting period,"1000 HOSPITAL DRIVE, MCPHERSON, KS 67460, (38.379007, -97.672485)"
1661,191309,LA,70422,9857489485,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"301 W WALNUT STREET, AMITE, LA 70422, (30.733072, -90.512186)"
1662,131302,ID,83330,2089344433,Critical Access Hospitals,Voluntary non-profit - Private,0,4.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"267 NORTH CANYON DR, GOODING, ID 83330, (42.92187, -114.710207)"
1663,190008,LA,70360,9858734141,Acute Care Hospitals,Government - Hospital District or Authority,1,3.0,,Average,,Above Average,,Below Average,,Average,,Average,,Average,,Average,,"8166 MAIN STREET, HOUMA, LA 70360, (29.598537, -90.714322)"
1664,150146,IN,46755,2603478700,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Average,,Above Average,,Average,,"401 SAWYER RD, KENDALLVILLE, IN 46755, (41.448868, -85.293329)"
